"","Well","OD","Time","Plate","ID","Strain","Condition","Medium","Replicate"
"2388","D9",1.7496,52,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2389","E9",1.8964,52,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2390","F9",1.5976,52,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2392","H9",0.0937,52,1,"1-H9","Blank","","SD-His-Leu",3
"2393","A9",1.6618,54,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2394","B9",1.7218,54,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2395","C9",1.6506,54,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2396","D9",1.8035,54,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2397","E9",1.9079,54,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2398","F9",1.6896,54,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2400","H9",0.0932,54,1,"1-H9","Blank","","SD-His-Leu",3
"2401","A9",1.7102,56,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2402","B9",1.7496,56,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2403","C9",1.6822,56,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2404","D9",1.8275,56,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2405","E9",1.9088,56,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2406","F9",1.7426,56,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2408","H9",0.0932,56,1,"1-H9","Blank","","SD-His-Leu",3
"2409","A9",1.7652,58,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2410","B9",1.7682,58,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2411","C9",1.7108,58,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2412","D9",1.8414,58,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2413","E9",1.919,58,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2414","F9",1.7748,58,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2416","H9",0.0928,58,1,"1-H9","Blank","","SD-His-Leu",3
"2417","A9",1.7873,60,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2418","B9",1.7868,60,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2419","C9",1.7429,60,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2420","D9",1.854,60,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2421","E9",1.9279,60,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2422","F9",1.7965,60,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2424","H9",0.0929,60,1,"1-H9","Blank","","SD-His-Leu",3
"2425","A9",1.8019,62,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2426","B9",1.7964,62,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2427","C9",1.7654,62,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2428","D9",1.8657,62,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2429","E9",1.931,62,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2430","F9",1.8131,62,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2432","H9",0.0927,62,1,"1-H9","Blank","","SD-His-Leu",3
"2433","A9",1.8207,64,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2434","B9",1.8084,64,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2435","C9",1.7874,64,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2436","D9",1.8729,64,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2437","E9",1.9367,64,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2438","F9",1.8347,64,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2440","H9",0.0923,64,1,"1-H9","Blank","","SD-His-Leu",3
"2441","A9",1.8276,66,1,"1-A9","YHL033C-Y7039","Liquid","SD-His-Leu",3
"2442","B9",1.8141,66,1,"1-B9","YIL066C-Y7039","Liquid","SD-His-Leu",3
"2443","C9",1.8029,66,1,"1-C9","YML058W-A-Y7039","Liquid","SD-His-Leu",3
"2444","D9",1.8807,66,1,"1-D9","YHL033C-Y7039","Dried","SD-His-Leu",3
"2445","E9",1.941,66,1,"1-E9","YIL066C-Y7039","Dried","SD-His-Leu",3
"2446","F9",1.8434,66,1,"1-F9","YML058W-A-Y7039","Dried","SD-His-Leu",3
"2448","H9",0.0933,66,1,"1-H9","Blank","","SD-His-Leu",3
