"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"195","C1",1.412,48,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"196","D1",1.4138,48,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"199","G1",0.1116,48,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"200","H1",0.1069,48,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"201","A1",0.1561,50,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"202","B1",1.1501,50,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"203","C1",1.3635,50,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"204","D1",1.465,50,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"207","G1",0.1114,50,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"208","H1",0.1069,50,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"209","A1",0.1547,52,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"210","B1",1.0969,52,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"211","C1",1.2765,52,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"212","D1",1.4933,52,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"215","G1",0.1114,52,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"216","H1",0.107,52,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"217","A1",0.1523,54,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"218","B1",1.0185,54,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"219","C1",1.3204,54,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"220","D1",1.535,54,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"223","G1",0.1118,54,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"224","H1",0.1068,54,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"225","A1",0.1518,56,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"226","B1",0.975,56,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"227","C1",1.4793,56,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"228","D1",1.5481,56,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"231","G1",0.1114,56,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"232","H1",0.1067,56,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"233","A1",0.1504,58,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"234","B1",0.9547,58,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"235","C1",1.5638,58,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"236","D1",1.5583,58,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"239","G1",0.1112,58,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"240","H1",0.1066,58,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"241","A1",0.1481,60,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"242","B1",0.9682,60,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"243","C1",1.3841,60,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"244","D1",1.591,60,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"247","G1",0.1109,60,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"248","H1",0.1066,60,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"249","A1",0.1466,62,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"250","B1",0.9611,62,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"251","C1",1.4417,62,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"252","D1",1.6069,62,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"255","G1",0.1109,62,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"256","H1",0.1066,62,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"257","A1",0.1451,64,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"258","B1",0.9784,64,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"259","C1",1.5729,64,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"260","D1",1.6271,64,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"263","G1",0.1108,64,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"264","H1",0.1062,64,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
"265","A1",0.1441,66,1,"1-A1","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",1
"266","B1",0.9871,66,1,"1-B1","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",1
"267","C1",1.6319,66,1,"1-C1","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",1
"268","D1",1.6411,66,1,"1-D1","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",1
"271","G1",0.1106,66,1,"1-G1","YPD-Blank","Liquid","No","RT","YPD",1
"272","H1",0.1062,66,1,"1-H1","YPD-Blank","Liquid","Growth Medium","RT","YPD",1
