"","Well","OD","Time","Plate","ID","Strain","Trehalose","Condition","Medium","Replicate"
"2610","B10",0.0988,4,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2611","C10",0.1249,4,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2612","D10",0.1164,4,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2613","E10",0.1231,4,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2614","F10",0.1217,4,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2615","G10",0.1183,4,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2617","A10",0.0958,6,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2618","B10",0.0976,6,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2619","C10",0.1218,6,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2620","D10",0.1153,6,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2621","E10",0.1197,6,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2622","F10",0.1204,6,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2623","G10",0.1176,6,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2625","A10",0.0958,8,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2626","B10",0.0971,8,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2627","C10",0.1198,8,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2628","D10",0.1152,8,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2629","E10",0.1181,8,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2630","F10",0.1174,8,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2631","G10",0.1174,8,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2633","A10",0.0979,10,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2634","B10",0.098,10,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2635","C10",0.1195,10,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2636","D10",0.1147,10,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2637","E10",0.1162,10,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2638","F10",0.1129,10,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2639","G10",0.1184,10,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2641","A10",0.0982,12,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2642","B10",0.0972,12,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2643","C10",0.1168,12,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2644","D10",0.1135,12,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2645","E10",0.1154,12,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2646","F10",0.1142,12,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2647","G10",0.1195,12,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2649","A10",0.0983,14,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2650","B10",0.0972,14,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2651","C10",0.1171,14,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2652","D10",0.113,14,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2653","E10",0.1121,14,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2654","F10",0.1114,14,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2655","G10",0.1181,14,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2657","A10",0.0981,16,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2658","B10",0.0986,16,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2659","C10",0.1143,16,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2660","D10",0.1118,16,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2661","E10",0.1105,16,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2662","F10",0.1093,16,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2663","G10",0.118,16,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2665","A10",0.0983,18,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2666","B10",0.1,18,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2667","C10",0.113,18,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2668","D10",0.1115,18,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2669","E10",0.1136,18,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2670","F10",0.1099,18,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2671","G10",0.1139,18,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2673","A10",0.0982,20,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2674","B10",0.0987,20,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2675","C10",0.1097,20,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2676","D10",0.1106,20,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2677","E10",0.1148,20,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2678","F10",0.1088,20,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2679","G10",0.113,20,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2681","A10",0.0981,22,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2682","B10",0.0989,22,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2683","C10",0.1089,22,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2684","D10",0.1101,22,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2685","E10",0.1117,22,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2686","F10",0.1117,22,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2687","G10",0.113,22,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2689","A10",0.1073,24,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2690","B10",0.1119,24,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2691","C10",0.1227,24,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2692","D10",0.108,24,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2693","E10",0.1093,24,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2694","F10",0.1249,24,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2695","G10",0.1041,24,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2697","A10",0.1055,26,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2698","B10",0.1154,26,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2699","C10",0.158,26,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2700","D10",0.1115,26,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2701","E10",0.1104,26,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2702","F10",0.1247,26,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2703","G10",0.105,26,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2705","A10",0.1049,28,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2706","B10",0.1136,28,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2707","C10",0.1361,28,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2708","D10",0.1113,28,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2709","E10",0.1084,28,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2710","F10",0.1202,28,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2711","G10",0.1025,28,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2713","A10",0.1042,30,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2714","B10",0.113,30,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2715","C10",0.3025,30,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2716","D10",0.1094,30,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2717","E10",0.11,30,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2718","F10",0.1231,30,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2719","G10",0.1049,30,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2721","A10",0.1036,32,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2722","B10",0.1122,32,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2723","C10",0.7293,32,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2724","D10",0.1098,32,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2725","E10",0.108,32,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2726","F10",0.1249,32,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2727","G10",0.1043,32,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2729","A10",0.103,34,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2730","B10",0.1119,34,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2731","C10",0.89,34,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2732","D10",0.1108,34,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2733","E10",0.1067,34,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2734","F10",0.1219,34,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2735","G10",0.1054,34,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2737","A10",0.1029,36,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2738","B10",0.1115,36,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2739","C10",0.534,36,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2740","D10",0.107,36,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2741","E10",0.1076,36,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2742","F10",0.1171,36,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2743","G10",0.1044,36,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2745","A10",0.1025,38,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2746","B10",0.1109,38,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2747","C10",1.6735,38,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2748","D10",0.1108,38,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2749","E10",0.1071,38,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2750","F10",0.1186,38,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2751","G10",0.1052,38,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2753","A10",0.1025,40,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2754","B10",0.1112,40,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2755","C10",1.0947,40,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2756","D10",0.1104,40,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2757","E10",0.1058,40,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2758","F10",0.1205,40,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2759","G10",0.1028,40,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2761","A10",0.1023,42,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2762","B10",0.111,42,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2763","C10",1.6077,42,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2764","D10",0.1055,42,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2765","E10",0.1057,42,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2766","F10",0.1111,42,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2767","G10",0.1034,42,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2769","A10",0.102,44,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2770","B10",0.111,44,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2771","C10",1.7078,44,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2772","D10",0.109,44,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2773","E10",0.1071,44,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2774","F10",0.1151,44,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2775","G10",0.1038,44,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2777","A10",0.1187,46,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2778","B10",0.1368,46,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2779","C10",1.7737,46,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2780","D10",0.1187,46,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2781","E10",0.1168,46,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2782","F10",0.1239,46,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2783","G10",0.1225,46,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2785","A10",0.104,48,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2786","B10",0.121,48,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2787","C10",1.737,48,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2788","D10",0.1095,48,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2789","E10",0.1073,48,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2790","F10",0.1161,48,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2791","G10",0.1055,48,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2793","A10",0.1038,50,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2794","B10",0.1285,50,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2795","C10",1.777,50,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2796","D10",0.1079,50,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2797","E10",0.1065,50,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2798","F10",0.12,50,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2799","G10",0.104,50,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2801","A10",0.1046,52,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2802","B10",0.1415,52,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2803","C10",1.7971,52,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2804","D10",0.1093,52,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2805","E10",0.1057,52,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2806","F10",0.112,52,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2807","G10",0.1049,52,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2809","A10",0.1057,54,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2810","B10",0.1663,54,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2811","C10",1.8163,54,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2812","D10",0.1058,54,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2813","E10",0.1085,54,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2814","F10",0.1188,54,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2815","G10",0.1019,54,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2817","A10",0.1099,56,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2818","B10",0.2699,56,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2819","C10",1.801,56,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2820","D10",0.1102,56,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2821","E10",0.1098,56,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2822","F10",0.1164,56,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2823","G10",0.1004,56,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2825","A10",0.1187,58,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2826","B10",0.4202,58,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2827","C10",1.8327,58,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2828","D10",0.1172,58,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2829","E10",0.1134,58,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2830","F10",0.1091,58,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2831","G10",0.1011,58,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2833","A10",0.1357,60,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2834","B10",0.8079,60,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2835","C10",1.844,60,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2836","D10",0.1303,60,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2837","E10",0.1365,60,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2838","F10",0.1154,60,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2839","G10",0.1019,60,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2841","A10",0.1812,62,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2842","B10",1.3351,62,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2843","C10",1.8734,62,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2844","D10",0.1433,62,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2845","E10",0.154,62,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2846","F10",0.1128,62,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2847","G10",0.1026,62,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2849","A10",0.3833,64,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2850","B10",1.5823,64,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2851","C10",1.8534,64,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2852","D10",0.2092,64,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2853","E10",0.1869,64,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2854","F10",0.1099,64,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2855","G10",0.1012,64,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2857","A10",0.5766,66,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2858","B10",1.731,66,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2859","C10",1.8756,66,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2860","D10",0.3734,66,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2861","E10",0.3445,66,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2862","F10",0.1112,66,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2863","G10",0.102,66,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2865","A10",1.3071,68,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2866","B10",1.8045,68,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2867","C10",1.8839,68,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2868","D10",0.5736,68,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2869","E10",0.889,68,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2870","F10",0.1138,68,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2871","G10",0.1009,68,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2873","A10",1.7617,70,1,"1-A10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",1
"2874","B10",1.8463,70,1,"1-B10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",1
"2875","C10",1.8561,70,1,"1-C10","Y7039 x YHL033C","No","RT","SD-HIS",4
"2876","D10",1.0263,70,1,"1-D10","Y7039 x YHL033C","No","RT","SD-HIS-LEU",4
"2877","E10",1.2065,70,1,"1-E10","Y7039 x YHL033C","No","Cold Shock","SD-HIS",4
"2878","F10",0.1301,70,1,"1-F10","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",4
"2879","G10",0.1259,70,1,"1-G10","Blank","No","","SD-HIS-LEU",1
"2881","A11",0.0948,0,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
"2882","B11",0.0977,0,1,"1-B11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",2
"2883","C11",0.1208,0,1,"1-C11","Y7039 x YHL033C","No","RT","SD-HIS",5
"2884","D11",0.1192,0,1,"1-D11","Y7039 x YHL033C","No","RT","SD-HIS-LEU",5
"2885","E11",0.1146,0,1,"1-E11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",5
"2886","F11",0.1072,0,1,"1-F11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",5
"2887","G11",0.1092,0,1,"1-G11","Blank","No","","SD-HIS-LEU",2
"2889","A11",0.096,2,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
"2890","B11",0.097,2,1,"1-B11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",2
"2891","C11",0.1325,2,1,"1-C11","Y7039 x YHL033C","No","RT","SD-HIS",5
"2892","D11",0.1255,2,1,"1-D11","Y7039 x YHL033C","No","RT","SD-HIS-LEU",5
"2893","E11",0.1245,2,1,"1-E11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",5
"2894","F11",0.1134,2,1,"1-F11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",5
"2895","G11",0.1095,2,1,"1-G11","Blank","No","","SD-HIS-LEU",2
"2897","A11",0.0976,4,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
"2898","B11",0.097,4,1,"1-B11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",2
"2899","C11",0.1297,4,1,"1-C11","Y7039 x YHL033C","No","RT","SD-HIS",5
"2900","D11",0.1288,4,1,"1-D11","Y7039 x YHL033C","No","RT","SD-HIS-LEU",5
"2901","E11",0.1184,4,1,"1-E11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",5
"2902","F11",0.1191,4,1,"1-F11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",5
"2903","G11",0.1113,4,1,"1-G11","Blank","No","","SD-HIS-LEU",2
"2905","A11",0.1018,6,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
"2906","B11",0.0962,6,1,"1-B11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",2
"2907","C11",0.123,6,1,"1-C11","Y7039 x YHL033C","No","RT","SD-HIS",5
"2908","D11",0.1288,6,1,"1-D11","Y7039 x YHL033C","No","RT","SD-HIS-LEU",5
"2909","E11",0.1141,6,1,"1-E11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",5
"2910","F11",0.1186,6,1,"1-F11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",5
"2911","G11",0.1107,6,1,"1-G11","Blank","No","","SD-HIS-LEU",2
"2913","A11",0.1045,8,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
"2914","B11",0.096,8,1,"1-B11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",2
"2915","C11",0.1198,8,1,"1-C11","Y7039 x YHL033C","No","RT","SD-HIS",5
"2916","D11",0.1252,8,1,"1-D11","Y7039 x YHL033C","No","RT","SD-HIS-LEU",5
"2917","E11",0.1124,8,1,"1-E11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",5
"2918","F11",0.1166,8,1,"1-F11","Y7039 x YHL033C","No","Cold Shock","SD-HIS-LEU",5
"2919","G11",0.1112,8,1,"1-G11","Blank","No","","SD-HIS-LEU",2
"2921","A11",0.1046,10,1,"1-A11","Y7039 x YHL033C","No","Cold Shock","SD-HIS",2
